spot_location_1,spot_location_2,spot_location_3,gene,is_noise,clustermap
887,522,16,1,0,216.0
890,527,16,1,0,216.0
896,515,16,1,0,216.0
898,532,15,1,0,216.0
957,792,16,1,0,-1.0
972,578,16,1,0,1434.0
40,356,17,1,0,613.0
53,99,18,1,0,9.0
60,304,19,1,0,665.0
75,333,17,1,0,10.0
253,34,19,1,-1,-1.0
270,855,19,1,0,1023.0
294,655,17,1,0,601.0
349,106,16,1,-1,-1.0
503,504,18,1,0,25.0
507,520,17,1,0,25.0
509,513,17,1,0,25.0
530,548,17,1,-1,-1.0
567,43,17,1,0,614.0
602,484,16,1,0,8.0
623,451,17,1,0,341.0
623,475,17,1,0,341.0
636,554,16,1,0,30.0
638,692,17,1,0,1125.0
700,328,17,1,-1,-1.0
745,529,18,1,0,634.0
763,537,17,1,-1,-1.0
769,30,24,1,0,3.0
772,41,19,1,0,3.0
777,15,17,1,0,11.0
792,502,19,1,0,1413.0
808,425,17,1,-1,-1.0
825,423,16,1,0,345.0
888,530,16,1,0,216.0
893,515,17,1,0,216.0
930,14,19,1,0,245.0
964,575,17,1,0,1434.0
972,582,18,1,0,1434.0
11,521,19,1,0,346.0
13,257,19,1,0,1311.0
31,156,19,1,0,16.0
46,358,20,1,0,613.0
282,890,18,1,0,603.0
308,652,18,1,0,203.0
378,215,19,1,-1,-1.0
386,238,20,1,-1,-1.0
495,512,18,1,0,25.0
597,448,17,1,-1,-1.0
604,481,18,1,0,8.0
661,66,22,1,0,13.0
706,579,19,1,0,353.0
719,719,17,1,0,967.0
731,585,17,1,0,12.0
735,394,18,1,0,335.0
735,539,20,1,0,634.0
738,393,17,1,0,335.0
742,584,18,1,0,12.0
749,430,18,1,0,615.0
766,525,18,1,-1,-1.0
779,469,18,1,0,1397.0
833,422,18,1,0,345.0
883,518,18,1,0,216.0
921,54,22,1,-1,-1.0
970,575,18,1,0,1434.0
14,530,19,1,0,33.0
16,548,20,1,0,33.0
21,526,21,1,0,346.0
26,534,19,1,0,33.0
35,561,20,1,-1,-1.0
152,433,20,1,0,956.0
260,841,20,1,0,1135.0
265,43,22,1,-1,-1.0
265,656,20,1,-1,-1.0
304,210,19,1,-1,-1.0
366,223,19,1,-1,-1.0
415,731,18,1,-1,-1.0
602,490,18,1,0,8.0
630,470,19,1,0,341.0
634,610,19,1,0,1139.0
645,79,19,1,0,13.0
656,95,20,1,0,13.0
659,86,20,1,0,13.0
666,83,18,1,0,13.0
704,572,20,1,-1,-1.0
723,245,20,1,-1,-1.0
731,595,18,1,-1,-1.0
751,396,19,1,0,335.0
758,473,20,1,-1,-1.0
763,398,21,1,0,335.0
766,42,24,1,0,3.0
772,621,19,1,-1,-1.0
831,433,19,1,0,345.0
859,82,21,1,-1,-1.0
881,522,19,1,0,216.0
884,514,19,1,0,216.0
889,531,19,1,0,216.0
890,534,18,1,0,216.0
907,519,22,1,0,216.0
914,525,20,1,0,216.0
919,526,20,1,0,405.0
947,560,21,1,0,1434.0
966,580,20,1,0,1434.0
971,590,18,1,0,1434.0
980,585,20,1,0,1434.0
5,523,22,1,-1,-1.0
112,358,21,1,0,617.0
264,638,21,1,-1,-1.0
328,285,21,1,0,396.0
331,684,21,1,0,344.0
496,528,19,1,-1,-1.0
601,474,21,1,0,223.0
605,463,20,1,0,341.0
613,519,20,1,0,349.0
631,545,20,1,0,30.0
638,84,20,1,0,13.0
653,343,21,1,-1,-1.0
671,78,20,1,-1,-1.0
681,653,21,1,0,636.0
706,610,20,1,-1,-1.0
717,598,19,1,0,353.0
718,608,22,1,-1,-1.0
724,573,21,1,0,354.0
739,574,21,1,0,12.0
751,477,20,1,0,659.0
751,516,20,1,0,642.0
770,8,20,1,0,11.0
780,507,20,1,-1,-1.0
784,776,20,1,-1,-1.0
793,469,22,1,0,1397.0
847,431,20,1,-1,-1.0
877,519,22,1,0,398.0
880,513,22,1,0,216.0
881,525,21,1,0,216.0
911,524,21,1,0,216.0
911,536,23,1,0,216.0
915,530,20,1,0,405.0
923,532,22,1,0,405.0
929,38,26,1,0,14.0
951,573,19,1,0,1434.0
953,578,20,1,0,1434.0
955,581,20,1,0,1434.0
956,573,21,1,0,1434.0
962,982,32,1,0,1532.0
967,585,20,1,0,1434.0
1002,651,21,1,-1,-1.0
16,520,22,1,0,346.0
16,552,22,1,0,33.0
17,504,24,1,-1,-1.0
40,301,26,1,0,665.0
42,446,23,1,0,1032.0
271,639,20,1,-1,-1.0
322,967,22,1,0,960.0
376,222,22,1,-1,-1.0
501,498,22,1,0,25.0
601,488,21,1,0,8.0
